Cities,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
cabaiguan,64,AU,1547099971,80,-18.65,146.16,85.3,10.98
clyde river,80,RU,1547099971,86,51.68,79.77,6.86,5.39
severodvinsk,8,ET,1547099972,30,11.59,37.39,63.83,3.94
butaritari,20,CA,1547096400,66,62.45,-114.38,-29.21,8.05
hermanus,0,LY,1547099972,81,29.03,21.55,39.04,5.06
tshikapa,1,US,1547098500,45,39.95,-94.76,24.8,3.04
mys shmidta,90,US,1547096160,93,43.41,-124.22,53.06,13.87
ingham,64,RU,1547099973,80,49.08,142.06,13.16,10.54
ust-kamchatsk,88,CG,1547099973,98,-2.95,12.72,71.66,2.71
malinovoye ozero,20,RU,1547099973,71,56.49,103.96,23.47,8.63
bahir dar,76,RU,1547099973,90,53.51,142.97,5.78,4.05
yellowknife,0,CL,1547096400,100,-41.87,-73.83,39.2,4.7
jalu,0,SA,1547096400,77,31.68,38.65,32,4.7
kodiak,80,MV,1547099974,100,-0.6,73.08,80.44,10.65
north bend,64,GL,1547099974,99,72.79,-56.15,-0.07,20.83
uglegorsk,0,ET,1547099847,48,9.8,35.1,67.84,3.49
mossendjo,0,SA,1547096400,37,24.63,46.72,53.6,6.93
shestakovo,56,RU,1547099975,59,69.3,139.9,-34.54,2.71
ekhabi,75,BN,1547098200,55,5.28,115.24,89.6,4.7
ancud,56,AR,1547099976,94,-35.66,-63.75,59.42,3.15
turayf,40,US,1547098500,93,34.64,-120.46,53.6,3.36
hithadhoo,20,RU,1547099976,59,65.4,64.7,-12.13,10.76
upernavik,8,RU,1547099976,48,63.23,52.89,-16.54,6.73
mendi,90,US,1547098020,71,42.65,-73.75,32,20.8
riyadh,90,US,1547099580,84,42.54,-113.79,37.04,5.82
warqla,0,GL,1547095800,54,69.22,-51.1,5,9.17
deputatskiy,92,AR,1547099977,68,-38.31,-60.23,59.96,5.95
victoria,12,AU,1547099978,58,-35.3,148.22,77.02,2.93
general pico,24,GL,1547099978,100,61.99,-49.67,27.29,21.83
lompoc,20,KM,1547096400,78,-11.38,43.28,82.4,2.24
muzhi,20,CN,1547099978,36,36.62,101.77,24.95,1.36
borovoy,56,TL,1547099979,89,-8.93,125.41,76.97,1.14
albany,75,FR,1547098200,75,48.47,-2.52,41,6.93
burley,90,CL,1547096400,53,-53.16,-70.91,50,19.46
ilulissat,56,NZ,1547099979,47,-46.19,168.86,66.44,21.27
grand river south east,24,RU,1547099980,92,69.38,178.42,-3.76,24.63
barrow,20,AR,1547099873,76,-46.43,-67.52,50.29,6.51
tumut,90,CA,1547096400,85,43.13,-80.75,23,14.99
paamiut,0,GL,1547095800,78,64.17,-51.74,15.8,24.16
mitsamiouli,0,VE,1547099981,73,8.12,-63.55,76.25,12.1
katsiveli,56,ID,1547099981,100,-5.67,132.75,82.28,14.56
xining,24,AU,1547096400,69,-31.43,152.91,80.6,10.29
airai,40,CM,1547096400,100,3.63,9.81,75.2,3.36
lamballe,90,AU,1547098200,82,-34.58,150.85,68,10.29
punta arenas,75,JP,1547098200,41,35.73,140.83,41,4.7
mataura,5,CA,1547096400,64,65.28,-126.83,-43.61,3.6
barentsburg,0,IT,1547099400,100,45.99,12.71,32,1.12
leningradskiy,92,GF,1547099983,97,5.38,-52.96,78.14,13.22
mar del plata,88,GL,1547099983,65,60.91,-46.05,13.7,1.03
illoqqortoormiut,20,LK,1547099983,93,5.97,80.42,84.53,3.38
woodstock,75,MU,1547096400,83,-20.41,57.7,80.6,12.75
nuuk,20,ET,1547096400,40,8.96,38.73,53.6,3.36
ciudad bolivar,90,CA,1547099280,76,58.81,-122.69,-11.21,3.36
tual,64,MX,1547099984,78,30.17,-111.1,52.72,2.71
port macquarie,0,RU,1547099984,91,65.58,-170.99,1.82,19.48
yatou,0,BR,1547099985,64,-14.74,-50.57,72.83,5.39
flinders,12,CN,1547099985,53,26.59,101.72,59.29,7.52
hasaki,20,BR,1547099985,92,-22.97,-42.02,75.67,16.8
norman wells,92,NA,1547099985,100,-22.12,14.28,59.65,2.59
burica,0,ZA,1547099986,58,-30.97,22.13,61.45,5.17
cordenons,92,UY,1547099986,98,-33.52,-56.9,66.49,7.63
sinnamary,75,DE,1547099400,90,52.99,10.09,33.8,4.7
narsaq,76,RU,1547099987,72,69.7,170.27,3.94,11.99
weligama,0,RU,1547099987,100,42.73,133.08,32.92,21.27
mahebourg,8,RU,1547099987,0,71.97,114.09,-44.98,5.95
lebu,75,CA,1547096400,75,55.74,-97.86,-20.21,2.24
fort nelson,92,NU,1547096400,83,-19.06,-169.92,82.4,5.82
benjamin hill,0,IN,1547099988,63,22.6,80.37,67.25,4.38
lavrentiya,76,RU,1547099988,91,51.29,81.11,7.31,6.51
mozarlandia,90,US,1547096160,77,60.79,-161.76,-11.93,19.46
berbera,75,UY,1547096400,73,-34.68,-56.22,69.8,13.87
panzhihua,5,CA,1547096400,68,63.75,-68.52,-20.21,19.46
arraial do cabo,0,NE,1547099990,82,18.74,7.39,45.02,2.93
henties bay,80,GW,1547099991,100,11.28,-15.83,77.96,4.61
carnarvon,40,AU,1547096400,45,-25.3,152.85,86,14.99
trinidad,1,US,1547097600,85,36.62,-121.92,55.4,2.59
munster,75,RU,1547096400,65,64.42,-173.23,3.2,17.9
pevek,0,FR,1547098200,90,46.8,0.53,32,10.29
vrangel,0,IN,1547099992,68,25.52,90.21,68.87,4.38
saskylakh,75,MU,1547096400,83,-20.34,57.76,80.6,12.75
thompson,8,US,1547099993,41,37.17,-99.65,38.63,14.45
alofi,44,RU,1547099993,100,73.51,80.55,-14.65,9.42
sentyabrskiy,32,PH,1547099993,72,11,122.67,81.83,18.59
mandla,20,JM,1547096400,64,18.18,-76.45,75.2,5.82
veseloyarsk,64,CN,1547099994,85,28.73,103.51,39.85,2.59
bethel,1,US,1547098500,45,33.19,-82.53,44.06,10.29
progreso,0,MR,1547099994,49,20.52,-13.05,42.41,2.59
taolanaro,88,NZ,1547099995,83,-35.17,173.16,71.57,4.94
iqaluit,68,MG,1547099995,100,-14.27,50.17,78.64,3.15
arlit,56,PG,1547099995,100,-4.34,152.27,82.28,3.04
bubaque,56,RU,1547099995,75,61.68,96.39,6.37,9.64
hervey bay,90,CA,1547099040,79,45.36,-73.48,28.4,11.41
pacific grove,56,BR,1547099996,100,-2.76,-42.27,72.79,4.38
vestbygda,88,PL,1547099996,95,51.05,21.08,21.89,6.73
provideniya,36,RU,1547099996,55,68.75,161.3,-0.34,7.07
kazalinsk,20,FR,1547098200,86,45.6,-0.6,33.8,9.17
chatellerault,75,PT,1547096400,87,37.72,-25.43,60.8,23.04
tura,75,RU,1547098200,92,59.7,30.79,21.2,2.24
saleaula,1,US,1547099640,51,39.31,-74.98,35.06,18.34
barawe,90,BM,1547097120,93,32.3,-64.78,64.4,24.16
bambous virieux,75,CA,1547096400,66,68.36,-133.71,-32.81,4.7
sitka,20,BR,1547096400,57,-21.2,-49.29,80.6,2.24
dikson,0,PT,1547096400,81,37.14,-8.45,44.6,5.82
dingle,56,RU,1547099999,81,56.76,48.47,10.1,10.2
tsihombe,8,BR,1547099999,85,-20.63,-46,60.64,2.93
port antonio,0,AR,1547096400,58,-45.87,-67.48,53.6,6.93
suba,0,TZ,1547100000,100,-4.88,29.64,74.81,3.04
avera,56,RU,1547100000,73,65.8,87.96,-16.9,7.63
atar,88,PT,1547100000,100,38.52,-28.7,58.88,12.77
ahipara,56,SO,1547100001,94,7.98,49.82,75.35,16.58
sambava,88,CA,1547098500,84,49.4,-98.5,1.4,5.82
kokopo,0,CL,1547096400,50,-36.72,-73.12,55.4,18.34
baykit,0,CL,1547096400,70,-45.58,-72.07,46.4,2.24
saint-philippe,90,US,1547096160,81,22.08,-159.32,73.94,5.82
tutoia,75,NO,1547097600,100,61.99,5.14,35.6,18.34
starachowice,0,IR,1547096400,58,34.52,50,30.2,4.7
cherskiy,64,RU,1547100009,87,60.47,166.1,28.28,11.65
souillac,75,SO,1547096400,69,2.04,45.34,80.6,14.99
vila franca do campo,0,ML,1547100010,75,18.44,1.41,40.39,2.93
nikolskoye,0,RU,1547100011,34,62.52,65.89,-22.71,2.93
maneadero,90,US,1547098500,85,32.77,-108.28,38.84,6.93
port elizabeth,0,SD,1547100013,65,13.52,35.76,70.49,9.53
hamilton,75,JP,1547098200,65,34.68,135.8,44.6,4.7
inuvik,8,RU,1547100014,45,67.46,153.71,-28.42,3.38
urupes,0,BJ,1547100015,47,11.13,2.93,58.88,5.61
lagoa,92,CA,1547100015,83,54.13,-108.44,6.5,8.08
sovetskiy,92,CA,1547099993,100,48.65,-53.11,28.42,13.44
ponta do sol,75,US,1547099580,74,47.2,-121.99,51.98,14.99
comodoro rivadavia,0,DZ,1547096400,40,27.87,-0.29,37.4,5.82
kigoma,64,AO,1547100019,98,-6.13,12.37,74.14,4.5
turukhansk,0,CA,1547100019,52,66.15,-65.72,-30.99,5.5
ribeira grande,88,CO,1547100020,100,5.36,-74.39,64.64,0.36
eyl,75,BG,1547098200,100,42.29,22.98,23,2.15
berlevag,56,CD,1547100021,92,-3.52,23.6,72.47,3.04
najran,90,CA,1547096400,77,55.1,-105.3,-0.41,10.29
altamont,0,GY,1547096400,100,6.8,-58.16,71.6,4.7
talcahuano,0,ET,1547100022,28,7.01,39.97,60.95,3.49
coihaique,44,ID,1547100023,81,-8.49,140.4,86.69,12.1
kapaa,0,GB,1547095800,86,51.04,-4.21,30.2,2.24
raudeberg,12,NZ,1547100024,52,-46.28,169.85,66.98,21.5
ashtian,90,GF,1547098200,78,4.94,-52.33,78.8,5.82
kamenskoye,0,CL,1547096400,62,-33.73,-70.74,59,6.93
tilichiki,0,AU,1547098200,44,-34.85,139.16,75.2,16.11
mogadishu,64,ID,1547100111,100,4.14,96.13,81.83,4.72
artyk,75,MU,1547096400,83,-20.21,57.76,80.6,12.75
kidal,75,EC,1547096400,100,-0.39,-78.55,55.4,4.7
andra,36,RU,1547100027,62,70.62,147.9,-34,2.93
silver city,0,MV,1547100028,100,5.67,73,82.24,14.45
doka,88,UY,1547099843,97,-34.48,-54.34,68.74,5.5
nara,48,PY,1547100028,63,-26.98,-56.83,83.99,7.63
srednekolymsk,0,SV,1547095800,68,13.99,-89.56,71.6,3.36
kandi,0,OM,1547095800,64,17.01,54.1,73.4,2.24
meadow lake,44,ZA,1547100030,91,-33.59,26.89,70.76,13.44
bonavista,0,BR,1547096400,61,2.82,-60.67,78.8,6.93
marcona,40,RU,1547098200,78,53.14,59.15,10.4,6.71
saleilua,68,GM,1547100032,90,13.18,-16.76,73.1,13
enumclaw,0,FR,1547098200,59,43.56,6.97,33.8,4.7
adrar,64,RU,1547100033,69,46.45,135.83,12.35,6.96
soyo,20,TT,1547096400,88,10.24,-61.45,73.4,5.82
pangnirtung,92,GL,1547100033,94,60.14,-45.24,31.57,28.1
la palma,80,GB,1547097600,99,53.14,0.34,35.6,6.93
shatrovo,90,CA,1547096400,85,47.66,-52.73,24.8,10.29
lodja,1,US,1547098500,55,33.92,-80.34,42.98,4.7
la ronge,92,EC,1547100034,91,0.61,-80.02,74.63,5.5
georgetown,32,GL,1547100034,81,77.48,-69.36,-13.26,8.63
goba,64,CN,1547100035,68,42.84,93.51,21.94,2.37
merauke,0,BR,1547096400,88,-9.67,-35.74,73.4,2.24
northam,20,RU,1547100035,47,71.98,102.47,-29.05,5.06
kaitangata,90,US,1547099580,88,44.39,-68.2,30.02,10.29
cayenne,64,BR,1547100036,100,-6.64,-51.99,70.76,2.04
buin,80,MX,1547100036,85,28.39,-105.62,49.25,4.94
palmer,40,VN,1547098200,46,10.95,106.82,91.4,8.05
tahta,0,TG,1547100037,54,9.77,1.11,60.77,4.94
meulaboh,12,PG,1547100037,100,-10.62,150.67,84.26,8.63
quatre cocos,0,CN,1547100037,80,23.36,103.16,61.94,2.71
san cristobal,8,SY,1547100038,84,35.3,37.18,32.65,2.59
chokurdakh,76,ZA,1547100038,92,-29.67,17.88,50.69,4.38
vaitupu,36,PG,1547100038,92,-2.02,147.27,85.97,10.42
ugoofaaru,76,RU,1547100038,84,61.28,108.01,13.43,6.62
rocha,80,RU,1547100039,100,59.56,150.8,9.92,11.21
san patricio,24,IN,1547100039,70,34.16,77.58,-20.32,1.36
buqayq,0,LY,1547100039,65,27.03,14.43,34.49,8.19
santa ana,44,CN,1547100040,97,44.3,86.03,-0.84,2.93
salalah,76,RU,1547100040,69,68.06,166.44,6.37,5.5
utiroa,92,PH,1547100040,91,12.22,125.48,79.76,21.5
belushya guba,80,RU,1547100040,80,56.69,54.35,8.48,6.62
port alfred,88,PH,1547100041,45,8,124.29,85.43,4.61
boa vista,76,IR,1547100041,100,29.62,51.65,49.75,2.71
svetlogorsk,20,MX,1547100042,93,20.03,-96.65,61.72,5.5
gunjur,0,IS,1547100042,87,64.25,-15.21,43.94,25.64
saint-joseph,75,RU,1547098200,92,55.61,37.97,15.8,4.47
vostok,68,BR,1547099945,100,-0.61,-47.36,78.1,10.98
esperance,90,US,1547098260,90,19.71,-155.08,69.98,4.7
nanortalik,0,RU,1547100043,100,51.71,143.23,9.29,6.51
skegness,90,US,1547098500,100,40.8,-124.16,53.06,9.17
torbay,1,US,1547099700,85,40.04,-86.9,21.56,4.7
sumter,8,MN,1547100044,79,49.98,92.07,3.94,1.36
muisne,75,US,1547099580,66,48.95,-122.46,53.96,27.51
qaanaaq,32,PA,1547100045,96,8.06,-78.36,78.82,14.45
meyungs,92,CN,1547100045,100,28.68,115.89,43.54,5.61
hami,0,ID,1547100045,72,-0.91,122.88,87.95,2.37
maceio,0,BR,1547100046,75,-15.82,-50.61,69.59,3.15
khatanga,80,SB,1547100046,86,-9.43,159.96,80.39,3.04
bar harbor,75,GA,1547096400,94,-0.72,8.78,78.8,3.36
sao felix do xingu,64,SB,1547100046,100,-10.46,161.92,81.38,13.22
samusu,92,MX,1547100047,99,27.97,-114.04,57.94,6.51
lazaro cardenas,64,RU,1547100047,57,67.55,63.78,-11.91,5.95
bien hoa,24,CN,1547100047,63,35.54,106.68,28.42,3.71
niamtougou,1,US,1547098680,41,31.21,-82.35,46.94,4.7
samarai,88,PG,1547100048,89,-6.6,147.85,77.96,2.48
gejiu,0,IR,1547100048,18,29.11,58.36,65.99,4.05
abu samrah,88,ZA,1547100048,100,-26.26,29.26,62.66,10.2
springbok,44,RU,1547100049,72,71.64,128.87,-36.97,4.72
lorengau,48,TZ,1547100049,91,-1.59,31.14,65.77,3.38
yerbogachen,90,AU,1547098200,74,-16.99,145.42,80.6,16.11
magadan,88,HR,1547100050,97,45.81,17.18,27.25,2.48
leh,0,CL,1547096400,100,-42.48,-73.76,39.2,4.7
sabha,0,BF,1547100050,49,10.97,-3.25,56.05,4.94
shihezi,0,CU,1547100051,92,20.71,-78,64.82,4.72
bilibino,0,PK,1547100051,34,24.47,69.59,73.37,4.61
alugan,75,DZ,1547098200,93,36.36,6.61,39.2,10.29
foki,75,CK,1547096400,69,-21.21,-159.78,78.8,11.41
bergen,5,MX,1547095680,68,22.89,-109.91,66.2,3.94
marawi,88,ZA,1547100052,96,-34,24.73,65.09,10.98
kazerun,75,BR,1547096400,83,-22.57,-47.17,75.2,3.36
palabuhanratu,88,PF,1547100053,100,-16.52,-151.75,81.02,14
vega de alatorre,44,MG,1547100053,88,-19.9,48.8,80.44,3.94
hofn,8,TR,1547100053,52,40.29,38.42,-2.68,2.04
tabiauea,24,RU,1547100054,31,65.61,72.68,-21.49,5.5
oktyabrskiy,36,IT,1547100054,100,37.41,13.73,47.99,22.84
salinopolis,40,PT,1547096400,67,33.08,-16.33,57.2,4.7
hilo,40,MX,1547095200,77,24.76,-107.7,69.8,6.06
katangli,0,AU,1547098200,27,-43.03,147.26,73.4,14.99
eureka,88,FO,1547097600,87,62.23,-6.59,48.2,21.92
crawfordsville,24,RU,1547100056,47,69.49,88.39,-29.64,4.16
ulaangom,75,NO,1547097600,68,71,24.66,28.4,16.11
lynden,0,MX,1547100057,69,24.01,-104.61,42.05,4.16
garachine,0,SO,1547100058,64,4.12,43.89,75.4,14.23
nanchang,20,GB,1547097600,87,57.76,-3.91,48.2,18.34
biak,64,VU,1547100058,100,-19.55,169.27,78.41,12.1
itapirapua,0,AU,1547096400,19,-34.18,142.16,80.6,9.17
honiara,0,SL,1547100059,98,7.53,-12.5,75.22,4.05
port-gentil,48,ID,1547100059,100,-3.31,129,84.94,9.53
kirakira,90,GB,1547097600,91,53.41,-2.98,35.6,3.36
guerrero negro,92,CN,1547100059,100,29.72,112.52,37.24,8.97
komsomolskiy,90,US,1547098500,49,30.3,-99.24,50,4.94
pingliang,0,TC,1547100060,100,21.46,-71.14,77.06,5.39
bengkulu,92,MG,1547100061,93,-17.35,49.03,77.24,2.59
waycross,40,ID,1547098200,74,-5.32,119.37,86,10.29
finschhafen,80,RU,1547098200,92,56.12,38.15,15.8,4.47
bam,0,MR,1547100062,76,20.93,-17.03,58.52,8.52
kriel,92,CA,1547100062,72,55.43,-116.48,4.75,3.38
tiksi,0,IT,1547099400,71,43.97,11.13,32,4.7
bugene,90,US,1547099340,85,42.05,-76.82,26.96,23.04
mareeba,92,CD,1547100064,98,-5.47,22.27,68.74,2.59
sibenik,0,AU,1547100065,83,-14.25,129.55,90.2,9.64
castro,92,CA,1547100065,89,54.23,-125.76,14.6,2.59
diebougou,92,IE,1547100065,99,53.8,-9.52,47.72,3.15
santa cruz del sur,44,PE,1547100066,100,-9.08,-78.59,68.15,3.04
diplo,0,PT,1547100066,80,40.36,-7.35,27.25,5.95
constantine,92,SO,1547100067,100,11.28,49.18,74.5,0.58
avarua,68,ID,1547100067,95,-9.65,120.26,82.28,4.72
cabo san lucas,0,NZ,1547099768,76,-45.87,170.5,63.38,3.15
kruisfontein,75,RU,1547098200,78,55.79,84.89,8.6,8.95
artur nogueira,75,JP,1547096400,53,34.7,138.93,51.8,20.8
vaitape,32,NA,1547100068,95,-26.65,15.16,57.85,5.5
kazachka,1,US,1547098500,71,41.37,-89.46,18.32,9.17
mahanoro,0,CM,1547100069,68,9.31,13.39,58.12,2.71
sebinkarahisar,8,CV,1547100069,98,14.9,-24.5,72.2,14.67
staryy nadym,56,RU,1547100069,80,67.68,53.15,1.91,14.45
metsovon,0,EG,1547096400,75,27.27,31.15,42.8,5.82
racalmuto,64,CD,1547100070,97,-1.93,18.29,73.87,3.38
camacha,44,PE,1547100070,94,-11.1,-77.61,63.79,2.48
navolato,0,BO,1547100071,48,-20.46,-66.82,29.05,2.48
margate,0,CF,1547100071,38,10.3,22.78,62.84,14.45
ji-parana,0,ES,1547098200,100,37.81,-0.83,46.4,8.05
klaksvik,64,GM,1547100072,65,13.79,-15.05,63.65,3.38
talnakh,75,MZ,1547096400,94,-16.16,33.59,78.8,3.94
havoysund,90,GB,1547099400,85,53.52,-2.49,35.6,1.12
paraiso,48,ID,1547100073,81,-4.05,103.78,79.99,4.38
xuddur,92,BR,1547100073,100,-17.73,-39.27,73.82,5.95
balintore,88,CN,1547100073,73,34.42,115.65,40.16,4.5
isangel,75,AU,1547096400,45,-28.95,153.24,91.4,11.41
mildura,75,JP,1547098320,86,43.93,141.67,30.2,6.93
bonthe,0,AU,1547098200,69,-30.38,153.1,87.8,16.11
amahai,0,NG,1547100074,36,12.17,6.66,58.3,10.54
liverpool,12,AU,1547098200,50,-15.77,128.74,96.8,5.82
dongsheng,75,US,1547098500,59,36.06,-90.5,37.94,5.82
harper,0,OM,1547100075,97,22.57,59.53,74.27,4.05
cockburn town,0,CL,1547100065,82,-32.75,-70.73,45.25,1.48
vohibinany,1,US,1547099580,79,29.76,-95.37,51.8,5.5
galesong,0,BR,1547100076,92,-20.25,-43.81,60.05,6.17
krasnoarmeysk,68,RU,1547100076,74,59.7,150.17,-3.85,2.71
nouadhibou,90,US,1547096760,86,21.35,-158.09,75.02,4.7
high prairie,0,LY,1547100077,78,31.86,10.98,37.91,10.54
vaiano,48,CA,1547100077,64,50.46,-105.81,16.04,13.78
southport,0,CN,1547100077,84,38.94,100.46,25.99,3.94
demba,36,CD,1547100078,100,-6.05,26.92,72.02,2.48
port keats,20,AI,1547096400,78,18.22,-63.06,73.4,5.82
burns lake,76,RU,1547100078,85,55.9,94.89,22.3,14.12
westport,92,MG,1547100079,95,-24.69,44.75,77.33,12.1
chimbote,1,US,1547099580,57,30.27,-94.2,46.04,5.82
belmonte,88,GL,1547100079,90,60.72,-46.03,25.58,0.36
bosaso,75,CA,1547096400,66,68.22,-135.01,-32.81,4.7
waingapu,36,RU,1547100080,71,65.99,60.32,-5.74,7.07
dunedin,64,MX,1547100080,83,27.52,-110.01,59.92,1.7
talaya,0,ES,1547098200,82,28.5,-13.86,55.4,8.05
shimoda,0,RU,1547100081,50,50.59,107.6,18.97,2.15
luderitz,76,BR,1547100081,100,-32.03,-52.1,72.79,3.6
princeton,92,PE,1547100081,98,-13.74,-72.9,44.75,2.37
garoua,92,PE,1547100082,98,-13.65,-73.37,44.75,2.37
sao filipe,1,US,1547096160,51,39.41,-74.36,35.06,18.34
iskateley,44,NZ,1547100082,40,-39.94,176.59,78.19,12.77
abnub,100,PF,1547100083,100,-22.43,-151.33,77.42,17.81
inongo,12,RU,1547100083,75,53.94,139.92,9.47,8.41
hualmay,90,RU,1547098200,85,57.77,29.55,10.4,2.24
uyuni,100,CN,1547100084,100,28.88,112.34,37.55,8.41
birao,90,NO,1547097600,93,62.91,6.91,48.2,4.7
san javier,92,NO,1547097600,93,59.36,5.22,35.6,14.99
nioro,1,US,1547099580,57,30.04,-94.42,46.04,5.82
tete,56,RU,1547100085,59,49.74,142.83,9.97,11.65
atherton,1,US,1547099460,32,35.21,-101.83,44.96,13.87
asau,44,CN,1547100085,67,36.28,116.45,38.54,7.18
indramayu,40,CA,1547096400,74,60.82,-115.79,-22.01,8.05
caravelas,0,IT,1547099400,22,45.18,8.4,42.8,17.22
shangqiu,24,BR,1547100086,86,-21.8,-54.54,74.72,2.93
codrington,75,US,1547099580,74,47.36,-123.1,51.98,14.99
rumoi,48,BR,1547100087,96,-1.83,-65.37,74,2.71
sawtell,90,US,1547096760,86,21.32,-158.01,75.02,4.7
gusau,24,TZ,1547100009,100,-6.18,35.75,69.05,4.16
kununurra,80,RU,1547100088,86,59.78,52.13,16.54,4.05
kismayo,44,EG,1547100088,95,24.09,32.9,42.23,3.6
paragould,75,BR,1547096400,83,-3.71,-38.6,80.6,13.87
sur,1,US,1547097300,57,33.6,-99.18,39.92,6.73
bolungarvik,92,UY,1547100089,95,-33.69,-53.46,69.14,5.06
san felipe,75,AU,1547098200,73,-32.72,152.14,77,19.46
houston,75,JP,1547096400,100,40.22,140.37,42.8,5.82
praia,88,RU,1547100090,88,54.05,35.23,16.04,6.51
arman,40,SE,1547097600,86,63.18,14.64,26.6,13.87
makakilo city,76,CO,1547100091,100,5.57,-73.18,49.61,1.7
nalut,92,MG,1547100091,100,-20.3,44.28,73.73,1.36
caronport,20,PE,1547100091,100,-10.68,-77.82,70.99,8.19
zhangye,80,BR,1547099936,100,-3.36,-42.42,71.12,2.37
kabalo,88,RU,1547100091,91,59.24,163.07,16.09,7.07
the valley,20,ES,1547098200,48,38.18,-1.13,46.4,8.05
borodino,36,RU,1547100092,58,66.32,-179.17,-20.68,3.04
ampanihy,0,ES,1547098200,63,28.66,-17.92,60.8,10.29
lumberton,20,JP,1547096400,54,43.32,145.57,30.2,5.82
qaqortoq,90,DE,1547099400,92,50.32,11.92,32,11.41
aklavik,0,IN,1547100095,68,22.22,81.41,69.1,4.5
verkhnyaya inta,75,PE,1547096400,88,-12.06,-77.04,73.4,12.75
laguna,0,BR,1547096400,64,-19.75,-47.94,69.8,8.05
puerto del rosario,20,IN,1547098200,70,8.13,77.3,84.2,6.93
mananara,8,PE,1547100096,99,-8.15,-78.17,41.42,0.36
bichura,75,PL,1547098200,92,50.68,18.21,28.4,9.17
rio grande,24,RU,1547100096,84,66.83,70.83,-19.29,6.62
matara,1,US,1547098500,86,34.25,-110.03,37.4,2.71
san jeronimo,40,US,1547098500,74,39.61,-119.25,44.96,8.05
brigantine,80,AR,1547099998,95,-22.52,-63.8,72.74,5.5
waipawa,8,ZW,1547100097,70,-20.19,32.62,83.05,3.94
moerai,75,BR,1547096400,83,-3.9,-38.39,80.6,13.87
rolim de moura,68,RU,1547100098,100,50.68,156.12,20.18,3.15
dzhusaly,75,JP,1547096400,54,31.62,130.4,53.6,11.41
mnogovershinnyy,36,RU,1547100098,71,58.36,82.83,4.07,9.98
